	genre	lyrics
148419	Rock	"Outside is a light
Which says you've got to find me
You know where I'll be
I'm always somewhere, always somewhere
No, no, no, no
Yeah, yeah
No, no, no, no
Yeah, yeah
Outside is a light
Which says you've got to find me
You know where I'll be
I'm always somewhere, always somewhere
No, no, no, no
Yeah, yeah
No, no, no, no
Yeah, yeah"
343109	Hip-Hop	"Yes sir is Bobby Ray, aka A. B.O.B. (O)
I can't be eco conscious, I'm always burning trees
And is there fire, fire, call it that third degree,
And call me supersonic I shake the earth beneath ya
Hell yeah you heard of me it's quite a emergency
The way I take the game and I beat it so un-unmercifully, yeah
Ladies with curly features, wait at concerts to see you
They can roll home with B.O., and maybe service me up
But if you wanna work for me then girl you need your working visas
And if you ain't working then you just should not converse with me
That's not that serious, don't take it so personally
Plus currently I prefer the girls who prefer the three C.P.O.
C.P.O. I think I think I'm Neo
I'm caught up in her Matrix and I think it's time to reload
And if this is what I caught girl I would have to appeal
I think that the defendant have some things that must reveal
Heels ha, heels ha, tell me what's the deal, man
Got me chasing you to see if I could cop a feel, huh
I gotta keep it real, kosher, kosher, kosher
Cause she don't want that bullshit, no sir, no sir, no sir
Her thighs go round like roller-coaster motors
And like a minute bundle, I had to roll them over
Had to plug the headset into her motorola
This bout to get scary like the end of October
And this is about the time when I hit you with the dope flow
I got that fire man, and other shit is so so
And this is about the time when I hit you with the dope flow
I'm at the fryin pan, your shit is so cold
And this is about the time when I hit you with the dope flow
I got that fire man, and other shit is so so
And this is about the time when I hit you with the dope flow
I'm at the frying pan, your shit is so cold
So cold like a hobo wearing no clothes and it's snow globe when the temperature is below froze
I mean below freezing and there's no reason to be so cheesy, got my own team and my own league
My own lane and my own speed, it's a long road so I don't sleep
If I don't know you I don't speak, it's a small world and it's gonna shrink
If you're full of shit, then you're gonna stink
I'm a realist I'm gonna think, with a pair of eyes so I'm gonna see
I'll be whatever the fuck I wanna be, I'll be everything except a wanna be
I'll be everything you ever wanna be, if you're clever enough you can corner me
But what's a corner to me, I'm geometry
So tell me who gave you the authority? Who the fuck are you? The authority?
What am I supposed to be orderly? pardon my honor you're charging me?
Saying something I oughta be but I got some much heart that my arteries will always be partying like a camaraderie
Man I'm already famous historically so my story is already glorious
Just like P Diddy victorious to the B.I.G. Notorius,
I'm a champion, I'm a warrior, I bring war to ya,
So if you got beef that's unfortunate, we'll hang ya'll out like portraits
And this is about the time when I hit you with the dope flow
I got that fire man, and other shit is so so
And this is about the time when I hit you with the dope flow
I'm at the frying pan, your shit is so cold
And this is about the time when I hit you with the dope flow
I got that fire man, and other shit is so so
And this is about the time when I hit you with the dope flow
I'm at the frying pan, your shit is so cold"
9884	Rock	"Give me back my broken night
my mirrored room, my secret life
it's lonely here,
there's no one left to torture
Give me absolute control
over every living soul
And lie beside me, baby,
that's an order!
Give me crack and anal sex
Take the only tree that's left
and stuff it up the hole
in your culture
Give me back the Berlin wall
give me Stalin and St Paul
I've seen the future, brother:
it is murder.
Things are going to slide, slide in all directions
Won't be nothing
Nothing you can measure anymore
The blizzard, the blizzard of the world
has crossed the threshold
and it has overturned
the order of the soul
When they said REPENT REPENT
I wonder what they meant
When they said REPENT REPENT
I wonder what they meant
When they said REPENT REPENT
I wonder what they meant
You don't know me from the wind
you never will, you never did
I'm the little jew
who wrote the Bible
I've seen the nations rise and fall
I've heard their stories, heard them all
but love's the only engine of survival
Your servant here, he has been told
to say it clear, to say it cold:
It's over, it ain't going
any further
And now the wheels of heaven stop
you feel the devil's riding crop
Get ready for the future:
it is murder
Things are going to slide ...
There'll be the breaking of the ancient
western code
Your private life will suddenly explode
There'll be phantoms
There'll be fires on the road
and the white man dancing
You'll see a woman
hanging upside down
her features covered by her fallen gown
and all the lousy little poets
coming round
tryin' to sound like Charlie Manson
and the white man dancin'
Give me back the Berlin wall
Give me Stalin and St Paul
Give me Christ
or give me Hiroshima
Destroy another fetus now
We don't like children anyhow
I've seen the future, baby:
it is murder
Things are going to slide ...
When they said REPENT REPENT ..."
234154	Electronic	"Go go east
Go go east
Go
Too many the questions
Where answers are few
The path driving tangled
Loves destiny's truth
With hunger unwilling
A passage to choose--
The trees growing ripe
With forbidden fruit
Dance in the garden
Sing with the snakes
Inviting free will,
To repeat his mistakes
With hunger unwilling
What will you do
The trees are ripe
With forbidden fruit
Live, love, be, believe
Go go east
Go go east of Eden
Rising in the eastern sky
The sun god dances light divine
Rising in the eastern sky
The western banks below his eye
Live, love, be, believe
Stop..
Go..
(East of Eden)
With hunger unwilling
A passage to choose
The trees are ripe
With forbidden fruit
Live, love, be, believe"
154604	Rock	"You play guitar for perfect strangers
You write some words they try to sell
And then you sing these things in public sometimes not very well
You get paid to go to parties
Drinking colors, talking trash,
You get laid because you're 'arty'
And you wonder why it never lasts
[Chorus]
Maybe these are wonders, more than we may know
Well I hate to steal your thunder
You ain't nothing special
You're no more celestial than anyone else
As far as I can tell
Call it mythology, we see what we want to see
And everyone wants their distant dreams
So sure enough they want your picture
And your deepest point of view
Well you should know you're not that pretty
And you haven't got a clue
But how you love the adoration
You believe your 'in-house' press
And half the critics always hate you
So you get horribly depressed
Maybe these are wonders, more than we may know
Well, I hate to steal your thunder
[Chorus]"
72214	Pop	"Una en un millÃ³n, esa eres tu
En mi oscuridad, tu te vuelves luz
Y te me haces mÃ¡gica, te me vuelves vida
Es cuestiÃ³n de lÃ³gica
De todas, de todas, de todas yo quiero estar contigo
De todos los besos que dan, el tuyo no lo olvido
De tantas miradas me quedo en tus ojos perdidos
Tu risa es la canciÃ³n mÃ¡s linda que adora mi oÃ­do
Cuanto me pelee con mi soledad
Cuanto yo soÃ±Ã© con verte llegar
Poder abrazarte asÃ­, todo hace sentido
Saber que eras para mi
De todas, de todas, de todas, yo quiero estar contigo
De todos los besos que dan, el tuyo no lo olvido
De tantas miradas me quedo en tus ojos perdidos
Tu risa es la canciÃ³n mÃ¡s linda que adora mi oÃ­do
Para mi tu eres la mÃ¡s bonita
Como pasearme como la costa de mi sica
Yo no se que he echo yo, para ganarme tu corazÃ³n
De todas, de todas, de todas
Yo quiero estar contigo
De todos los besos que dan
El tuyo no lo olvido
De todas, de todas, de todas yo quiero estar contigo
De todos los besos que dan, el tuyo no lo olvido
De tantas miradas me quedo en tus ojos perdidos
Tu risa es la canciÃ³n mÃ¡s linda que adora mi oÃ­do
Tu risa es la canciÃ³n mÃ¡s linda que adora mi oÃ­do"
321707	Electronic	"I should have nailed you down
Now you're on that cloud
If we're gonna do this
We gotta do it now
While we're young
There you go again
On that horse of yours
If we're gonna do this
We gotta do it now
While we're young
You should have stood me up
Now I'm draggin' you down
If we're gonna do this
We gotta do it now
While we're young
I've lost my head
Prefer foolishness instead
My words just rise
Leaving all good sense behind
Leaving all good sense behind
Leaving all good sense behind
What are you tryin' to prove?
What are you tryin' to prove?
Who are you tryin' to prove it to? (x5)"
272401	Pop	"Here's a story of a roaring mining town
And the gal who really knew her way around.
There's still talk of that event
cause the way she came and went.
She took the town and turned it upside down.
With her red silk stockings and her green perfume
She blew into this man's town with a silver boon.
Never was any trouble but she started some soon
With her red silk stockings and her green perfume.
Oh the town was growin'
And the money was flowin'
And the boys were throwin' it around.
Oh the red silk stockings and the green perfume.
She was singing a love song in the gamblin' hall.
When along came a stranger
He was handsome and tall.
He won every last dollar that we had in the room.
And the red silk stockings and the green perfume.
Oh the town was growin'
And the money was flowin'
And the boys were throwin' it around.
Oh the red silk stockings and the green perfume.
Oh she promised to meet me by the silvery moon.
She was meeting that stranger by the cactus dune.
All she left was a memory of a honky tonk tune.
And her red silk stockings and her green perfume.
Oh the town was growin'
And the money was flowin'
And the boys were throwin' it around.
For the red silk stockings and the green perfume."
42691	Hip-Hop	"Yo Dre, I thought I was dead
West coast
I'm the doctor's advocate
Nigga Dre shot ya
Brought me back from the dead
That's why they call him the doctor
The mavs gon' drop em
If 50 ain't rockin' wit him no more
It's ok, I get it poppin'
The whole club rockin' like da 6-4 Impala
Drink Cris throw it up call the shit hydraulics
Then piss in the cup call the shit Hipnotiq
I bleed Compton, spit crack, the shit chronic
And you new niggas ain't shit but new niggas
Baped n ape shoe niggas I'm talkin' to you nigga
Bounce in the 6-4 throwin' up west side man
Sell another five million albums, yes I am
Fresh like damn dis nigga did it again
A hundred thousand on his neck, LA above the brim
Inside the Lambo', shotgun wit Snoop
What would the muthafuckin' west coast be without
One crip and one blood?
One blood, one blood, one blood
Blood, blood, blood
One blood, one blood, one blood, one blood, one blood
I'm from the west side of the 6-4 Impala
When niggas say, Where you from?
We'll never say holla
Bandana on the right side, gun on the left side
Niggas in New York know how to throw up the west side
Word to Eazy, I'm so ill believe me
I made room for Jeezy
But the rest of you niggas better be glad you breathing
All I need is one reason
I'm the King and Dre said it the west coast need me
I don't know why you niggas keep tryin' me
Everybody know that I'm the heir to the Aftermath dynasty
And I ain't got to make shit for the club
What DJ gon' turn down the 38 snub?
You 38 and you still rappin'? Uhh
I'm 26 nigga, so is the dubs
On the 07 Hummer hop out
Nobody guards, when the chronic
Smoke clear, all you gon' see is one blood
One blood, one blood, one blood
Blood, blood, blood
One blood, one blood, one blood, one blood, one blood
I ain't got beef wit 50, no beef wit J
What's beef when you gettin' head in the 6 trey?
And the double game change, I keep em on display
Black t-shirt so all you see is the A
Turn on the TV and all you see is the A
You niggas better make up a dance and try to get radio play
Keep on snappin' your fingers, I ain't goin' away
I don't regret what I spit, cause I know what I say
And niggas talk about me, they don't know when to stop
I got the Louis Vuitton belt buckle holdin' the glock
No beam, no silencer, I know when to pop
I wait till Lil' Jon come on and let off a shot
I had the number one Billboard spot
Niggas stepped on my fingers and I climbed right back to the top
I'm BIG, I'm Cube, I'm Nas, I'm Pac
This ain't shit but a warning till my album drop
One blood, one blood, one blood, one blood
Blood, blood, blood
One blood, one blood, one blood, one blood, one blood
One blood, one blood, one blood, one blood
Blood, blood, blood"
132468	Pop	"I just came back from a lovely trip along the Milky Way
Stopped off at the North Pole to spend a holiday
I called on dear old Santa Claus
To see what I could see
He took me to his workshop
And told his plans to me, so
[Chorus]
You better watch out, you better not cry
Better not pout, I'm telling you why
Santa Claus is comin' to town
He's making a list and checking it twice
Gonna find out who's naughty and nice
Santa Claus is comin' to town
He sees you when you're sleepin'
He knows when you're a wake
He knows if you've been bad or good
So be good for goodness sake
Oh! You better watch out, you better not cry
Better not pout, I'm telling you why
Santa Claus is comin' to town
With little tin horns and little toy drums
Rooty toot toots and rummy tum tums
Santa Claus is comin' to town
And curly head dolls that toddle and coo
Elephants, boats, and kiddie cars too
Santa Claus is comin' to town
Then kids in Girl and Boy land will have a jubilee
They're gonna build a Toyland all around the Christmas tree
So! You better watch out, you better not cry
Better not pout, I'm telling you why
Santa Claus is comin' to town
Now Santa is a busy man, He has no time to play
He's got millions of stockings to fill on Christmas day
You'd better write your letter now
And mail it right away
Because he's getting ready
His reindeer's and his sleigh. So
[Chorus]
With little tin horns and little toy drums
Rooty toot toots and rummy tum tums
Santa Claus is comin' to town
And curly head dolls that toddle and coo
Elephants, boats, and kiddie cars too
Santa Claus is comin' to town
Then kids in Girl and Boy land will have a jubilee
They're gonna build a Toyland all around the Christmas tree
So! You better watch out, you better not cry
Better not pout, I'm telling you why
Santa Claus is comin' to town"
94213	Rock	"O come all ye faithful
Joyful and triumphant
O come ye, o come ye to Bethlehem
Come and behold Him
Born the King of angels
O come, let us adore Him
O come, let us adore Him
O come, let us adore Him
Christ, the Lord
O sing, choirs of angels
Sing in exultation
Sing, all ye citizens of heaven above
Glory to God
Glory in the highest
O come, let us adore Him
O come, let us adore Him
O come, let us adore Him
Christ, the Lord
Yea, Lord, we greet Thee
Born this happy morning
Jesus, to Thee be all glory given
Word of the Father
Now in flesh appearing
Come, let us adore Him
Come, let us adore Him
O come, let us adore Him
Christ, the Lord
O come, let us adore Him
Christ, the Lord"
206360	Other	"Ear to the wall
With or without you, I fall
Can you hear my scream?
Echo off the walls inside a dream
I'm not the last one, I won't be the last one to know
I'll just fade away
I'm not the last one, I won't be the last one to know
I'll just wash away
I'm not the last one, I won't be the last one to know
I'll just watch you win
And I'll let you win
But I won't let you
In my every thought
Even when I'm safe I'm not
You are anxiously
Waiting for the end of me
I'm not the last one, I won't be the last one to know
I'll just fade away
I'm not the last one, I won't be the last one to know
I'll just wash away
I'm not the last one, I won't be the last one to know
I'll just watch you win
And I'll let you win
But I won't let you in
I'm not the last one, I won't be the last one to know
I'll just fade away
I'm not the last one, I won't be the last one to know
I'll just fade away
I'm not the last one, I won't be the last one to know
I'll just wash away
I'm not the last one, I won't be the last one to know
I'll just watch you win
And I'll let you win
But I won't let you in"
313881	Rock	"What's missing from this picture?
It's just me without my bike
There's just one thing that I love more than anything
I hold it so near to my heart
It has just one gear and a pair of blue training wheels
A headlight to see in the dark
I like my bike, it's not like other bikes
I like my bike, it's not like other bikes
It has pinwheels and a purple banana seat
Loud cards in the spokes as they bend
It has a big horn that I honk when you're in my way
So I don't run over my friends
I like my bike, it's not like other bikes
I like my bike, it's not like other bikes
I ride my bike to the girl that I like
And she looks at me and my bike
A tear fills her eye as she's filled with great pride
When I ask her to take a ride
Me and my girl, we ride all over town on it
My guide is the street and the sun
We stop for a shake, I pretend we'll share all of it
When I hit the eject button
I like my bike, it's not like other bikes
I like my bike, it's not like other bikes"
72892	Rock	"Mighty men of power,
great Goliaths who've turned sour
never feeling, never caring
only blindly you're following one flight of power
crushing all who stand there before you
taking breaking you
even make the strong men cower
grind to dust, those who can't pay your due
With careful plans your lies
there's no risk and no mistake
ignore the small man as he cries
smash him and then he'll cooperate
giant stop for a moment
search deep within your heart
are you so sure you're right
you could make a new start
if you left this Earth
who would care
what d'you think you're worth
just a share
you don't have much time
face the truth
you'll pay for your crime
you must choose
there's another way of living
see what you get by giving
take your chance, find your way
take it, while you may
forget that thing called pride
just awaken what's inside
stop deceiving start believing
your humility will be your last misleading guide
the seeking mind could then show you how
freely gladly now
fulfill yourself, be satisfied
give all the love, that you can mend all
with simple joys, your life
will be rich and so much more
welcome the feeling, see it thrive
the peace that you've been searching for"
356716	Rock	"Take me, raise me above
Take me, this undying love
What once was I wish I no longer see
Wings of hatred, come set me free
You are the air in which I breathe
You are the blood I drink in me
These words beyond forever true
My new religion is you
Forsake me
Its you that I serve
Take me
This undying love
You are the air in which I breathe
You are the blood I drink in me
These words beyond forever true
My new religion is you
New religion(x7)"
